statenum,stateabb,statenme,stday,stmonth,styear,endday,endmonth,endyear,source
475,NIG,Nigeria,1,10,1960,31,12,2012,list of independent states
481,GAB,Gabon,17,8,1960,31,12,2012,list of independent states
482,CEN,Central African Republic,13,8,1960,31,12,2012,list of independent states
483,CHA,Chad,11,8,1960,31,12,2012,list of independent states
484,CON,Congo,15,8,1960,31,12,2012,list of independent states
490,DRC,"Congo, Democratic Republic of (Zaire)",30,6,1960,31,12,2012,list of independent states
500,UGA,Uganda,9,10,1962,31,12,2012,list of independent states
501,KEN,Kenya,12,12,1963,31,12,2012,list of independent states
510,TAZ,Tanzania/Tanganyika,9,12,1961,31,12,2012,list of independent states
511,ZAN,Zanzibar,19,12,1963,26,4,1964,list of independent states
516,BUI,Burundi,1,7,1962,31,12,2012,list of independent states
517,RWA,Rwanda,7,1,1962,31,12,2012,list of independent states
520,SOM,Somalia,1,7,1960,31,12,2012,list of independent states
522,DJI,Djibouti,27,6,1977,31,12,2012,list of independent states
530,ETH,Ethiopia,11,2,1855,31,12,2012,list of independent states
531,ERI,Eritrea,24,5,1993,31,12,2012,list of independent states
540,ANG,Angola,11,11,1975,31,12,2012,list of independent states
541,MZM,Mozambique,25,6,1975,31,12,2012,list of independent states
551,ZAM,Zambia,24,10,1964,31,12,2012,list of independent states
552,ZIM,Zimbabwe (Rhodesia),11,11,1965,31,12,2012,list of independent states
553,MAW,Malawi,6,7,1964,31,12,2012,list of independent states
560,SAF,South Africa,31,5,1910,31,12,2012,list of independent states
563,TRA,Transvaal,1,1,1852,30,5,1910,list of independent states
564,OFS,Orange Free State,28,3,1854,30,5,1910,list of independent states
565,NAM,Namibia,21,3,1990,31,12,2012,list of independent states
570,LES,Lesotho,4,10,1966,31,12,2012,list of independent states
571,BOT,Botswana,30,9,1966,31,12,2012,list of independent states
572,SWA,Swaziland,6,9,1968,31,12,2012,list of independent states
580,MAG,Madagascar (Malagasy),1,1,1816,5,8,1896,list of independent states
580,MAG,Madagascar,26,6,1960,31,12,2012,list of independent states
581,COM,Comoros,6,7,1975,31,12,2012,list of independent states
590,MAS,Mauritius,12,3,1968,31,12,2012,list of independent states
591,SEY,"Seychelles				",29,6,1976,31,12,2012,list of microstatesÊ
600,MOR,Morocco,1,1,1816,1,1,1904,list of independent states
600,MOR,Morocco,2,3,1956,31,12,2012,list of independent states
615,ALG,Algeria,1,1,1816,5,7,1830,list of independent states
615,ALG,Algeria,5,7,1962,31,12,2012,list of independent states
616,TUN,Tunisia,1,1,1816,12,5,1881,list of independent states
616,TUN,Tunisia,1,1,1956,31,12,2012,list of independent states
620,LIB,Libya,1,1,1816,31,12,1834,list of independent states
620,LIB,Libya,24,12,1951,31,12,2012,list of independent states
625,SUD,Sudan,1,1,1956,31,12,2012,list of independent states
626,SSD,South Sudan,9,7,2011,31,12,2012,list of independent states
630,IRN,Iran (Persia),1,1,1816,31,12,2012,list of independent states
640,TUR,Turkey (Ottoman Empire),1,1,1816,31,12,2012,list of independent states
645,IRQ,Iraq,3,10,1932,31,12,2012,list of independent states
651,EGY,Egypt,1,1,1827,31,12,1855,list of independent states
651,EGY,Egypt,28,2,1922,31,12,2012,list of independent states
652,SYR,Syria,1,1,1946,31,12,2012,list of independent states
660,LEB,Lebanon,22,11,1944,31,12,2012,list of independent states
663,JOR,Jordan,25,5,1946,31,12,2012,list of independent states
666,ISR,Israel,14,5,1948,31,12,2012,list of independent states
670,SAU,Saudi Arabia,23,9,1932,31,12,2012,list of independent states
678,YEM,Yemen (Arab Republic of Yemen),30,10,1918,31,12,2012,list of independent states
680,YPR,"Yemen, People's Republic of",30,11,1967,21,5,1990,list of independent states
690,KUW,Kuwait,19,6,1961,31,12,2012,list of independent states
692,BAH,Bahrain,15,8,1971,31,12,2012,list of independent states
694,QAT,Qatar,3,9,1971,31,12,2012,list of independent states
696,UAE,United Arab Emirates,2,12,1971,31,12,2012,list of independent states
698,OMA,Oman,1,1,1816,31,12,2012,list of independent states
700,AFG,Afghanistan,1,1,1816,30,12,1888,list of independent states
700,AFG,Afghanistan,1,5,1919,31,12,2012,list of independent states
701,TKM,Turkmenistan,27,10,1991,31,12,2012,list of independent states
702,TAJ,Tajikistan,9,9,1991,31,12,2012,list of independent states
