gwno,year,WorldBank_pop_estimate,WorldBank_pop_estimate_sd,WorldBank_gdp_2011_ppp_estimate,WorldBank_gdp_2011_ppp_estimate_sd
344,1953,15.1301548338831,0.0872536288962806,23.2916374314877,0.24966664059618
344,1954,15.1359838981599,0.0912201784197956,23.3622523994331,0.244059486568253
344,1955,15.1397885420181,0.0921924314757397,23.4512429359727,0.236448621844792
344,1956,15.1482366534674,0.0947178127845987,23.509669696078,0.228781474183564
344,1957,15.1488867098799,0.0890880892672889,23.5770821632643,0.221624130781126
344,1958,15.1508791824948,0.0902035828205796,23.6507515443697,0.231587894727211
344,1959,15.1585892878477,0.0860691327567193,23.7337898656065,0.236811224677403
344,1960,15.1601531918904,0.0921541415447803,23.7953870416446,0.225889535199647
344,1961,15.1692013707658,0.087726135589099,23.8763298530175,0.227822685260822
344,1962,15.1768381560287,0.0905252946833777,23.9426497151173,0.238687873973785
344,1963,15.1788446229246,0.0929361977831572,24.00655116935,0.236971654577606
344,1964,15.1842167615274,0.088926343422491,24.0700936611854,0.2233958116952
344,1965,15.1851771301579,0.0923318734423616,24.1166455222543,0.227767835534101
344,1966,15.1960595001691,0.0913887537141326,24.1812508728271,0.235000943757674
344,1967,15.2052545345942,0.0927358097166097,24.2476988243099,0.237043528364598
344,1968,15.2039514584315,0.0933329593252261,24.2938648237293,0.237846034378779
344,1969,15.2042506492498,0.091045578894254,24.3462727329874,0.235721826014259
344,1970,15.2044845180747,0.0908395403257378,24.4089844818259,0.232304559038122
344,1971,15.2086424232559,0.0914797600555877,24.4597024188028,0.234285981808384
344,1972,15.2076721614703,0.0879109916276303,24.5132057228276,0.23705593398787
344,1973,15.2180746675803,0.0935385723067673,24.5629546644091,0.231883496053382
344,1974,15.2158522566492,0.0906147114092097,24.6155131033737,0.23383444109287
344,1975,15.2212230804306,0.0941658567791784,24.6620655850312,0.237857531952155
344,1976,15.2203235336373,0.0874372661632783,24.7195208386075,0.235105453735989
344,1977,15.2303455117681,0.0888979697049411,24.7487757970804,0.222138618429106
344,1978,15.2298493414738,0.0924379362026451,24.8054739421067,0.226506980886253
344,1979,15.2381337924128,0.0916046957200123,24.8562348652677,0.229276347982086
344,1980,15.2405254071486,0.090725183812565,24.8793504833053,0.225020917885559
344,1981,15.2444402826824,0.0886803086617454,24.9143758005294,0.235569337648735
344,1982,15.2472437624199,0.0873500217469172,24.9236797987359,0.222551776313733
344,1983,15.2581699362622,0.0892240353007253,24.9193847786362,0.228901835744404
344,1984,15.257281556268,0.0918294904114924,24.9257549588124,0.234829467289848
344,1985,15.2594069258707,0.0872507239153188,24.9293775082284,0.229063675847494
344,1986,15.2629851931697,0.0890555723867671,24.9383322818523,0.230621324071537
344,1987,15.2687630659904,0.0927469431298257,24.9296936816562,0.229628509180062
344,1988,15.2771899888855,0.0877369469695433,24.9339029409041,0.232909439703182
